E, [2017-02-14T00:15:20.485316 #4937] ERROR -- Kitchen: ------Backtrace-------
E, [2017-02-14T00:15:20.485714 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/driver.rb:48:in `rescue in for_plugin'
E, [2017-02-14T00:15:20.486198 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/driver.rb:38:in `for_plugin'
E, [2017-02-14T00:15:20.486637 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:233:in `new_driver'
E, [2017-02-14T00:15:20.487050 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:246:in `new_instance'
E, [2017-02-14T00:15:20.487447 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:142:in `block in build_instances'
E, [2017-02-14T00:15:20.487925 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `map'
E, [2017-02-14T00:15:20.488670 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `with_index'
E, [2017-02-14T00:15:20.489318 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-02-14T00:15:20.489886 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-02-14T00:15:20.490434 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-02-14T00:15:20.491055 #4937] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.4.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
